[2025 Júl  1 Ked 10:20:23 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:24 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:25 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:26 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:27 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:28 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:29 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:30 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:31 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:32 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:33 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:34 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:35 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:37 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:38 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:39 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:40 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:41 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:42 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:43 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:44 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:45 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:46 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:47 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:48 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:49 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:50 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:51 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:53 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:54 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:55 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:56 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:57 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:58 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:20:59 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:00 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:01 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:02 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:03 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:04 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:05 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:06 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:08 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:09 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:10 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:11 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:12 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:13 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:14 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:15 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:16 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:17 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:18 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:19 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:20 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:22 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:23 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:24 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:25 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:26 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:27 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:28 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:29 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:30 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:31 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:32 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:33 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:34 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:35 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:37 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:38 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:39 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:40 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:41 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:42 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:43 CEST]
<Envelope>OK</Envelope>[2025 Júl  1 Ked 10:21:44 CEST]
